ticket_id,show_id,theater_id,movie_id,customer_id,purchase_time,seat_type,price,quantity,total
T000001,S0014,T01,M020,C0072,2025-07-01 02:08:50,Regular,39.0,1,39.0
T000002,S0149,T02,M025,C0548,2025-06-16 16:08:50,Regular,43.0,1,43.0
T000003,S0035,T01,M035,C0329,2025-08-21 05:38:50,Regular,37.0,1,37.0
T000004,S0452,T05,M023,C0357,2025-08-09 14:38:50,Regular,38.0,1,38.0
T000005,S0090,T02,M017,C0424,2025-09-24 04:23:50,Regular,43.0,1,43.0
T000006,S0002,T01,M023,C0275,2025-08-09 10:53:50,Regular,38.0,1,38.0
T000007,S0390,T04,M013,C0541,2025-07-19 03:23:50,Regular,39.0,1,39.0
T000008,S0106,T02,M036,C0195,2025-06-13 08:53:50,Regular,45.0,1,45.0
T000009,S0358,T04,M023,C0304,2025-08-10 17:53:50,Regular,38.0,1,38.0
T000010,S0335,T04,M023,C0275,2025-09-12 23:53:50,Regular,38.0,1,38.0
T000011,S0134,T02,M027,C0159,2025-09-22 01:53:50,Couple,72.0,1,72.0
T000012,S0282,T03,M021,C0057,2025-08-01 11:23:50,VIP,58.5,1,58.5
T000013,S0023,T01,M016,C0451,2025-09-22 01:08:50,Regular,44.0,1,44.0
T000014,S0356,T04,M028,C0481,2025-05-28 15:08:50,Regular,43.0,1,43.0
T000015,S0413,T05,M004,C0412,2025-09-03 05:23:50,VIP,63.0,1,63.0
T000016,S0296,T03,M040,C0308,2025-06-26 08:23:50,Regular,36.0,1,36.0
T000017,S0162,T02,M014,C0147,2025-07-15 02:38:50,Regular,41.0,1,41.0
T000018,S0305,T03,M032,C0508,2025-09-11 13:08:50,Regular,38.0,1,38.0
T000019,S0213,T03,M027,C0454,2025-06-15 15:38:50,Regular,40.0,1,40.0
T000020,S0198,T03,M011,C0380,2025-08-30 12:53:50,Regular,37.0,1,37.0
T000021,S0483,T05,M033,C0374,2025-05-10 14:23:50,Regular,40.0,1,40.0
T000022,S0061,T01,M013,C0545,2025-09-14 13:53:50,Regular,39.0,1,39.0
T000023,S0463,T05,M025,C0331,2025-05-08 08:08:50,Regular,43.0,1,43.0
T000024,S0016,T01,M021,C0571,2025-09-10 12:08:50,Regular,39.0,1,39.0
T000025,S0381,T04,M010,C0040,2025-09-25 01:53:50,Regular,38.0,1,38.0
T000026,S0196,T03,M007,C0229,2025-06-26 18:53:50,Regular,43.0,1,43.0
T000027,S0054,T01,M024,C0321,2025-07-04 15:08:50,Regular,48.0,1,48.0
T000028,S0367,T04,M014,C0257,2025-07-22 07:23:50,VIP,61.5,1,61.5
T000029,S0014,T01,M020,C0148,2025-06-21 17:08:50,Regular,39.0,1,39.0
T000030,S0419,T05,M024,C0269,2025-08-31 06:08:50,Regular,48.0,1,48.0
T000031,S0089,T02,M013,C0218,2025-07-14 03:53:50,Couple,70.2,1,70.2
T000032,S0228,T03,M001,C0130,2025-08-13 22:08:50,Regular,37.0,1,37.0
T000033,S0242,T03,M017,C0005,2025-08-23 14:38:50,VIP,64.5,1,64.5
T000034,S0099,T02,M026,C0543,2025-09-12 10:53:50,Regular,45.0,1,45.0
T000035,S0125,T02,M036,C0029,2025-08-26 15:53:50,Regular,45.0,1,45.0
T000036,S0026,T01,M025,C0195,2025-07-24 01:08:50,Regular,43.0,1,43.0
T000037,S0188,T03,M017,C0545,2025-09-17 01:53:50,VIP,64.5,1,64.5
T000038,S0225,T03,M015,C0135,2025-08-14 17:38:50,Regular,37.0,1,37.0
T000039,S0294,T03,M022,C0010,2025-08-04 13:53:50,Regular,40.0,1,40.0
T000040,S0414,T05,M002,C0077,2025-05-24 15:53:50,Couple,66.6,1,66.6
T000041,S0137,T02,M017,C0269,2025-06-21 09:23:50,VIP,64.5,1,64.5
T000042,S0330,T04,M037,C0393,2025-05-31 10:23:50,Regular,45.0,1,45.0
T000043,S0366,T04,M034,C0130,2025-05-14 17:23:50,VIP,61.5,1,61.5
T000044,S0049,T01,M023,C0280,2025-05-11 20:08:50,Regular,38.0,1,38.0
T000045,S0042,T01,M012,C0239,2025-06-30 02:38:50,Regular,40.0,1,40.0
T000046,S0053,T01,M026,C0276,2025-06-20 01:23:50,Regular,45.0,1,45.0
T000047,S0202,T03,M009,C0130,2025-05-21 16:08:50,VIP,67.5,1,67.5
T000048,S0385,T04,M028,C0097,2025-05-20 17:08:50,Regular,43.0,1,43.0
T000049,S0197,T03,M021,C0531,2025-04-30 04:38:50,Regular,39.0,1,39.0
T000050,S0173,T02,M010,C0122,2025-09-09 15:23:50,Regular,38.0,1,38.0
T000051,S0133,T02,M006,C0461,2025-05-29 03:53:50,Regular,43.0,1,43.0
T000052,S0029,T01,M019,C0168,2025-08-22 00:38:50,Regular,39.0,1,39.0
T000053,S0149,T02,M025,C0454,2025-06-10 08:08:50,VIP,64.5,1,64.5
T000054,S0028,T01,M007,C0158,2025-09-17 21:38:50,VIP,64.5,1,64.5
T000055,S0387,T04,M026,C0261,2025-09-08 14:08:50,Regular,45.0,1,45.0
T000056,S0213,T03,M027,C0137,2025-06-17 15:38:50,Regular,40.0,1,40.0
T000057,S0107,T02,M014,C0351,2025-06-24 09:53:50,Regular,41.0,1,41.0
T000058,S0120,T02,M033,C0313,2025-07-12 15:23:50,Regular,40.0,1,40.0
T000059,S0198,T03,M011,C0040,2025-08-29 06:53:50,Regular,37.0,1,37.0
T000060,S0273,T03,M025,C0498,2025-05-23 02:53:50,Regular,43.0,1,43.0
T000061,S0484,T05,M022,C0191,2025-05-20 15:38:50,VIP,60.0,1,60.0
T000062,S0260,T03,M033,C0543,2025-08-27 01:23:50,VIP,60.0,1,60.0
T000063,S0087,T02,M024,C0537,2025-06-29 18:23:50,Regular,48.0,1,48.0
T000064,S0238,T03,M021,C0351,2025-07-18 14:38:50,Regular,39.0,1,39.0
T000065,S0482,T05,M022,C0413,2025-08-10 22:38:50,Regular,40.0,1,40.0
T000066,S0430,T05,M028,C0510,2025-09-10 06:08:50,Regular,43.0,1,43.0
T000067,S0060,T01,M027,C0303,2025-07-08 18:53:50,Couple,72.0,1,72.0
T000068,S0270,T03,M032,C0328,2025-09-07 19:23:50,Regular,38.0,1,38.0
T000069,S0429,T05,M024,C0434,2025-05-27 04:38:50,VIP,72.0,1,72.0
T000070,S0397,T05,M030,C0334,2025-09-06 17:38:50,VIP,57.0,1,57.0
T000071,S0437,T05,M020,C0179,2025-05-09 12:08:50,Regular,39.0,1,39.0
T000072,S0332,T04,M009,C0519,2025-07-11 11:53:50,Regular,45.0,1,45.0
T000073,S0453,T05,M031,C0244,2025-06-14 20:23:50,Regular,40.0,1,40.0
T000074,S0356,T04,M028,C0588,2025-05-26 08:08:50,Regular,43.0,1,43.0
T000075,S0281,T03,M002,C0126,2025-08-08 20:23:50,Regular,37.0,1,37.0
T000076,S0254,T03,M034,C0213,2025-07-12 03:53:50,Regular,41.0,1,41.0
T000077,S0485,T05,M004,C0079,2025-09-03 19:08:50,Regular,42.0,1,42.0
T000078,S0432,T05,M015,C0371,2025-07-22 17:38:50,Regular,37.0,1,37.0
T000079,S0136,T02,M007,C0435,2025-05-06 13:38:50,VIP,64.5,1,64.5
T000080,S0141,T02,M032,C0259,2025-05-20 08:53:50,VIP,57.0,1,57.0
T000081,S0354,T04,M034,C0570,2025-07-07 07:53:50,Regular,41.0,1,41.0
T000082,S0279,T03,M026,C0151,2025-07-17 02:53:50,VIP,67.5,1,67.5
T000083,S0145,T02,M013,C0263,2025-07-02 11:23:50,Regular,39.0,1,39.0
T000084,S0461,T05,M023,C0598,2025-05-26 09:08:50,Regular,38.0,1,38.0
T000085,S0111,T02,M023,C0588,2025-08-13 00:08:50,Regular,38.0,1,38.0
T000086,S0185,T03,M011,C0326,2025-08-30 04:23:50,Regular,37.0,1,37.0
T000087,S0375,T04,M023,C0113,2025-07-13 22:38:50,Regular,38.0,1,38.0
T000088,S0215,T03,M012,C0200,2025-08-06 10:23:50,Regular,40.0,1,40.0
T000089,S0080,T02,M010,C0045,2025-05-26 22:53:50,Regular,38.0,1,38.0
T000090,S0202,T03,M009,C0043,2025-05-26 15:08:50,Regular,45.0,1,45.0
T000091,S0274,T03,M037,C0473,2025-08-12 21:23:50,Regular,45.0,1,45.0
T000092,S0409,T05,M040,C0385,2025-06-11 11:38:50,Couple,64.8,1,64.8
T000093,S0294,T03,M022,C0379,2025-08-15 02:53:50,Regular,40.0,1,40.0
T000094,S0229,T03,M029,C0451,2025-08-21 16:08:50,VIP,69.0,1,69.0
T000095,S0131,T02,M019,C0412,2025-04-29 21:23:50,Regular,39.0,1,39.0
